基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
银华中小市值量化优选A,005515,0.10亿元（2019-12-31）,11.07%,13.64%,9.71%,7.32%,--,-0.55%,马君,1年又25天,25.02%,7年又186天
广发多元新兴股票,003745,24.41亿元（2019-12-31）,13.36%,36.91%,62.97%,112.38%,--,103.86%,唐晓斌/刘格菘,5天,-1.09%,5年又75天/5年又328天
建信改革红利股票,000592,1.73亿元（2019-12-31）,0.48%,18.39%,22.25%,41.85%,45.23%,174.20%,陶灿,5年又299天,174.20%,8年又242天
招商中国机遇股票,001749,4.03亿元（2019-12-31）,12.54%,29.28%,33.69%,44.98%,--,37.30%,王景/李亚,1年又185天,57.82%,8年又117天/5年又86天
招商稳健优选股票,004784,1.23亿元（2019-12-31）,10.18%,25.13%,33.55%,48.76%,--,42.18%,钟贇,63天,19.11%,2年又92天
银河康乐股票,519673,4.91亿元（2019-12-31）,9.60%,18.18%,26.49%,50.80%,64.36%,115.80%,余科苗,1年又189天,64.86%,2年又83天
银华文体娱乐量化股票发起式C,005240,0.05亿元（2019-12-31）,1.88%,13.18%,16.03%,9.73%,--,-10.24%,李宜璇,1年又72天,31.71%,2年又73天
银华文体娱乐量化股票发起式A,005239,0.12亿元（2019-12-31）,1.92%,13.18%,15.96%,9.55%,--,-10.77%,李宜璇,1年又72天,31.32%,2年又73天
广发高端制造股票,004997,0.50亿元（2019-12-31）,8.37%,28.52%,37.45%,61.13%,--,38.61%,观富钦/孙迪,178天,36.92%,2年又23天/2年又84天
长江量化匠心甄选A,006911,0.07亿元（2019-12-31）,10.52%,16.70%,17.30%,--,--,28.47%,祗飞跃,317天,28.47%,317天
长江量化匠心甄选C,006957,0.13亿元（2019-12-31）,10.47%,16.54%,16.90%,--,--,27.49%,祗飞跃,317天,27.49%,317天
博道伍佰智航股票A,007831,2.55亿元（2019-12-31）,12.01%,15.20%,--,--,--,13.98%,杨梦,163天,13.98%,1年又210天
大成产业升级股票(LOF),160919,2.23亿元（2019-12-31）,12.87%,18.12%,25.56%,36.73%,47.71%,58.15%,李林益,4年又57天,42.92%,4年又245天
博道伍佰智航股票C,007832,3.82亿元（2019-12-31）,11.98%,15.11%,--,--,--,13.83%,杨梦,163天,13.83%,1年又210天
华安智能装备主题股票,001072,7.47亿元（2019-12-31）,7.55%,19.82%,30.03%,50.51%,60.45%,55.64%,李欣,3年又168天,60.62%,4年又243天
金鹰信息产业股票C,005885,1.45亿元（2019-12-31）,2.48%,34.86%,39.86%,44.53%,--,101.16%,樊勇,94天,39.40%,1年又147天
上投摩根安全战略股票,001009,8.11亿元（2019-12-31）,5.62%,18.21%,29.00%,63.39%,54.88%,42.80%,陈思郁,232天,55.39%,4年又217天
