基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
浦银安盛盛元定开债C,519323,0.00亿元（2019-12-31）,1.04%,2.60%,3.70%,6.27%,18.14%,20.42%,章潇枫,2年又273天,17.66%,2年又297天
博时慧选纯债定开债,003963,75.56亿元（2019-12-31）,0.87%,1.58%,2.17%,4.23%,14.70%,15.51%,陈黎,1年又211天,7.42%,1年又333天
农银汇理金丰一年定开债,003050,11.07亿元（2019-12-31）,1.06%,2.32%,2.83%,6.00%,14.50%,13.64%,史向明,3年又205天,13.64%,11年又121天
融通通裕定开债,002869,21.74亿元（2019-12-31）,1.11%,2.70%,3.82%,7.03%,21.30%,20.94%,张一格,3年又126天,20.94%,6年又293天
平安惠金定开债A,003024,13.34亿元（2019-12-31）,0.75%,1.83%,2.82%,5.72%,16.46%,16.11%,WANG AO(汪澳),138天,2.53%,4年又125天
富国鼎利纯债三个月定开债,004736,21.42亿元（2019-12-31）,0.72%,1.88%,2.82%,5.34%,--,18.74%,黄纪亮/武磊,1年又247天,11.02%,7年又11天/3年又6天
鹏华永盛一年定开债,003662,3.57亿元（2019-12-31）,0.98%,2.82%,3.34%,7.10%,21.01%,21.61%,祝松,3年又69天,21.61%,6年又15天
鹏华尊晟定期开放发起式债券,007544,30.56亿元（2019-12-31）,0.53%,1.48%,2.07%,--,--,2.72%,祝松,262天,2.72%,6年又15天
银河聚星两年定开债券,007890,30.00亿元（2019-12-18）,0.25%,--,--,--,--,0.49%,蒋磊,80天,0.49%,3年又194天
鹏华永诚一年定开债券,000053,2.72亿元（2019-12-31）,0.51%,1.38%,2.97%,6.71%,17.34%,59.65%,刘涛,1年又42天,7.40%,3年又285天
招商添润3个月定开债A,005594,100.65亿元（2019-12-31）,0.55%,1.54%,2.12%,4.17%,--,10.78%,周欣宇,2年又50天,10.78%,2年又120天
华安安盛3个月定开债,006936,10.29亿元（2019-12-31）,0.62%,1.52%,2.37%,4.63%,--,4.85%,周益鸣,15天,0.32%,1年又273天
民生加银平稳增利C,166903,4.08亿元（2019-12-31）,0.11%,2.09%,0.22%,2.38%,14.19%,54.66%,胡振仓,1年又142天,5.59%,10年又315天
招商添琪3个月定开债A,005648,82.60亿元（2019-12-31）,0.53%,2.18%,2.61%,4.88%,--,11.40%,周欣宇,2年又7天,11.40%,2年又120天
融通增润三个月定开债,007516,30.10亿元（2019-11-08）,0.86%,2.17%,--,--,--,2.49%,许富强,120天,2.49%,1年又294天
中银信享定期开放债券,004899,40.98亿元（2019-12-31）,0.66%,1.76%,2.46%,4.94%,--,14.03%,白洁,2年又160天,14.03%,8年又358天
平安合意定开债发起式,004632,10.19亿元（2019-12-31）,0.50%,1.78%,2.59%,4.87%,--,5.14%,高勇标,1年又43天,5.14%,2年又254天
民生加银平稳增利A,166902,25.48亿元（2019-12-31）,0.13%,2.18%,0.41%,2.78%,15.57%,59.23%,胡振仓,1年又142天,6.18%,10年又315天
泰达宏利鑫利债券C,007642,0.76亿元（2019-12-31）,0.57%,1.42%,2.28%,--,--,2.30%,李祥源/傅浩,110天,1.75%,143天/3年又2天
长信金葵纯债C,002255,0.13亿元（2019-12-31）,1.14%,1.81%,2.52%,4.08%,15.70%,19.65%,冯彬/胡琼予,148天,2.17%,2年又161天/1年又280天
长信金葵纯债A,002254,2.48亿元（2019-12-31）,1.19%,1.91%,2.73%,4.51%,17.09%,21.65%,冯彬/胡琼予,148天,2.33%,2年又161天/1年又280天
永赢智益纯债三个月,007482,40.49亿元（2019-12-31）,1.06%,2.57%,2.87%,--,--,4.58%,牟琼屿,264天,4.58%,1年又351天
光大保德信尊丰纯债定开债,005426,10.17亿元（2019-12-31）,1.04%,2.59%,3.35%,--,--,3.58%,沈荣/曾小丽/周华,210天,3.52%,2年又218天/1年又349天/1年又210天
汇添富鑫利定开债券A,003532,10.58亿元（2019-12-31）,0.62%,1.69%,2.36%,4.39%,--,13.01%,吴江宏,2年又360天,13.01%,4年又235天
平安合锦定开债,006412,25.58亿元（2019-12-31）,0.70%,1.82%,2.69%,4.97%,--,7.38%,WANG AO(汪澳),115天,2.32%,4年又125天
富国德利纯债定开债,006750,81.51亿元（2019-12-31）,0.48%,1.33%,1.91%,--,--,3.99%,张明凯/黄纪亮,354天,3.90%,5年又31天/7年又11天
汇添富鑫益定开债发起式C,004470,0.00亿元（2019-12-31）,0.58%,1.43%,2.02%,3.65%,--,11.46%,徐一恒,185天,2.07%,185天
南方惠利6个月定开债A,006995,0.90亿元（2019-12-31）,1.27%,2.93%,3.73%,--,--,5.90%,金凌志,347天,5.90%,2年又223天
鹏华尊悦3个月定开债,005831,61.52亿元（2019-12-31）,0.82%,1.90%,2.83%,6.75%,--,14.98%,刘涛,171天,2.66%,3年又285天
万家恒瑞18个月定开债C,003160,0.00亿元（2019-12-31）,0.54%,1.45%,2.24%,3.84%,10.80%,8.35%,周潜玮,1年又359天,8.39%,2年又7天
浦银安盛盛元定开债A,519322,92.89亿元（2019-12-31）,1.06%,2.69%,3.87%,6.63%,19.30%,21.86%,章潇枫,2年又273天,18.71%,2年又297天
