基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
博时富乾3个月定开债,005631,67.29亿元（2019-12-31）,1.77%,3.10%,3.82%,6.21%,--,12.73%,黄海峰,2年又28天,12.73%,4年又321天
广发汇安18个月定开债A,004386,5.59亿元（2019-12-31）,1.85%,2.87%,3.56%,6.91%,--,18.30%,代宇,2年又342天,18.30%,8年又217天
红塔红土盛商一年定开债C,004709,0.03亿元（2019-12-31）,6.39%,8.02%,8.90%,8.41%,--,13.46%,梁钧/罗薇,1年又167天,10.53%,5年又80天/3年又308天
中银恒利半年定开债,001035,23.87亿元（2019-12-31）,2.50%,4.34%,4.64%,9.38%,18.53%,41.28%,李建,5年又38天,41.28%,12年又201天
浦银安盛幸福聚利定开债A,519320,0.39亿元（2019-12-31）,1.01%,1.67%,2.04%,4.29%,11.11%,11.44%,刘大巍,2年又325天,10.67%,3年又203天
天弘悦享定开债券,005654,15.95亿元（2019-12-31）,0.83%,2.10%,2.69%,5.10%,--,10.04%,王昌俊,119天,2.40%,1年又327天
银华添益定开债,002491,13.07亿元（2019-12-31）,1.29%,2.13%,2.80%,5.21%,15.07%,15.76%,邹维娜,3年又351天,15.76%,6年又214天
中加纯债两年债券A,003660,10.77亿元（2019-12-31）,1.79%,2.64%,3.89%,6.42%,20.49%,21.19%,杨宇俊,3年又117天,21.19%,3年又350天
广发汇瑞3个月定开债券,003746,59.60亿元（2019-12-31）,0.92%,2.34%,3.16%,5.70%,18.09%,17.99%,李伟/谢军,75天,1.89%,1年又184天/13年又180天
银华添泽定开债,003497,9.42亿元（2019-12-31）,1.22%,2.18%,2.78%,5.04%,15.94%,14.93%,邹维娜,3年又117天,14.93%,6年又214天
博时安泰18个月定开债C,002357,0.06亿元（2019-12-31）,1.95%,3.20%,4.48%,7.65%,14.30%,15.33%,程卓,1年又358天,13.96%,3年又209天
鑫元兴利定期开放债,002265,12.79亿元（2019-12-31）,1.18%,1.91%,2.91%,5.40%,16.63%,16.98%,颜昕,144天,2.45%,4年又256天
浦银安盛幸福聚利定开债C,519321,0.02亿元（2019-12-31）,0.92%,1.67%,1.86%,3.86%,9.92%,10.03%,刘大巍,2年又325天,9.70%,3年又203天
大摩增值18个月开放债券C,001860,2.46亿元（2019-12-31）,0.64%,1.20%,2.14%,3.58%,15.60%,20.57%,张雪,4年又6天,20.57%,5年又90天
浙商汇金聚利一年定开债C,002806,6.05亿元（2019-12-31）,1.01%,1.67%,2.24%,5.02%,18.08%,16.78%,应洁茜,1年又291天,12.29%,2年又58天
博时安瑞18个月定开债C,002477,0.17亿元（2019-12-31）,1.84%,2.79%,4.24%,6.84%,15.03%,15.60%,李汉楠/陈凯杨,75天,2.50%,75天/7年又93天
泓德裕泽一年定开债券C,002741,0.02亿元（2019-12-31）,1.86%,2.81%,3.58%,6.91%,--,20.38%,赵端端/李倩,1年又134天,10.74%,1年又164天/4年又78天
泓德裕泽一年定开债券A,002740,6.76亿元（2019-12-31）,1.85%,2.90%,3.68%,7.29%,--,21.56%,赵端端/李倩,1年又134天,11.21%,1年又164天/4年又78天
华夏恒融一年定开债,004063,7.21亿元（2019-12-31）,1.53%,2.68%,3.39%,6.22%,--,14.82%,刘明宇/柳万军,302天,6.03%,2年又87天/6年又68天
中银聚利半年定开债,000632,2.67亿元（2019-12-31）,2.20%,5.83%,6.10%,10.30%,20.45%,34.94%,陈玮,4年又263天,28.50%,5年又68天
中信建投稳裕定开债A,003573,10.42亿元（2019-12-31）,1.77%,2.73%,3.75%,6.47%,17.28%,15.77%,许健,1年又163天,9.47%,3年又14天
长信稳裕三个月定开债,006174,5.44亿元（2019-12-31）,1.63%,3.32%,4.02%,6.58%,--,9.51%,冯彬/胡琼予,138天,3.84%,2年又161天/1年又280天
博时裕丰纯债3个月定开债,002109,30.84亿元（2019-12-31）,1.06%,1.86%,2.54%,4.51%,16.39%,18.07%,陈黎,362天,4.49%,1年又333天
工银丰实三年定开债券,003931,2.22亿元（2019-12-31）,0.69%,1.06%,1.31%,3.97%,--,8.76%,李娜,1年又98天,2.27%,3年又43天
中银丰庆定期开放债券,003770,50.31亿元（2019-12-31）,1.40%,2.34%,3.16%,5.75%,--,16.32%,白洁,1年又142天,8.42%,8年又358天
博时安誉18个月定开债,002048,2.01亿元（2019-12-31）,1.69%,2.65%,3.42%,5.78%,11.17%,14.50%,程卓,1年又358天,13.67%,3年又209天
广发汇安18个月定开债C,004387,0.00亿元（2019-12-31）,1.80%,2.77%,3.36%,6.46%,--,16.95%,代宇,2年又342天,16.95%,8年又217天
大摩18个月定开债,000064,31.19亿元（2019-12-31）,1.60%,2.46%,3.24%,6.07%,20.98%,69.12%,李轶,6年又257天,69.12%,11年又118天
工银添祥一年定开债券,006004,6.72亿元（2019-12-31）,1.16%,2.03%,2.61%,5.72%,--,8.92%,李娜/何秀红,138天,2.63%,3年又43天/9年又28天
华富富瑞3个月定开债,005781,48.23亿元（2019-12-31）,0.97%,1.72%,2.37%,4.38%,--,8.52%,倪莉莎,1年又344天,8.52%,2年又177天
银华岁盈定期开放债券,005500,2.27亿元（2019-12-31）,1.15%,1.89%,2.47%,5.00%,--,8.91%,邹维娜,1年又226天,8.91%,6年又214天
鑫元增利定开债发起式,005780,6.29亿元（2019-12-31）,2.19%,3.28%,3.85%,7.07%,--,15.23%,赵慧,130天,3.91%,4年又55天
华安年年红债券A,000227,0.94亿元（2019-12-31）,3.85%,4.94%,5.05%,9.20%,22.08%,57.54%,周益鸣,88天,4.54%,1年又273天
金元顺安沣顺定开债,005817,13.54亿元（2019-12-31）,1.35%,2.30%,3.45%,5.93%,--,13.42%,周博洋,1年又322天,13.42%,2年又41天
博时安怡6个月,002625,3.03亿元（2019-12-31）,0.74%,1.50%,2.23%,3.82%,10.60%,13.47%,陈黎,82天,1.31%,1年又333天
山西裕利定开债,003179,12.25亿元（2019-12-31）,0.65%,1.74%,2.51%,4.25%,14.60%,15.43%,华志贵,3年又196天,15.43%,8年又259天
新华安享惠金定期债券A,519160,27.76亿元（2019-12-31）,0.28%,1.12%,2.37%,3.55%,15.38%,72.90%,马英/于泽雨,3年又280天,19.88%,4年又242天/7年又78天
华安年年红债券C,001994,0.50亿元（2019-12-31）,3.85%,4.94%,4.85%,8.70%,20.32%,23.08%,周益鸣,88天,4.54%,1年又273天
博时安仁一年定开债A,002904,5.30亿元（2019-12-31）,1.22%,2.12%,2.91%,3.83%,14.67%,13.50%,黄海峰,2年又120天,11.76%,4年又321天
浦银安盛6个月定期债券A,519121,0.35亿元（2019-12-31）,1.13%,2.35%,2.26%,4.17%,13.15%,32.76%,刘大巍,3年又195天,12.34%,3年又203天
金元顺安沣泰定开债发起式,005818,10.77亿元（2019-12-31）,1.24%,1.91%,2.72%,5.45%,--,11.64%,苏利华,1年又303天,11.64%,2年又41天
中欧安财定开债发起式,005964,15.87亿元（2019-12-31）,2.11%,3.35%,4.23%,8.03%,--,15.88%,洪慧梅/蒋雯文/黄华,201天,4.39%,4年又31天/2年又37天/2年又349天
浦银安盛6个月定期债券C,519122,0.05亿元（2019-12-31）,1.03%,2.26%,2.07%,3.89%,12.36%,30.53%,刘大巍,3年又195天,11.34%,3年又203天
长信富全纯债一年定开债A,519941,0.20亿元（2019-12-31）,1.29%,2.32%,2.54%,5.21%,16.58%,17.80%,张文琍/姜锡峰,5天,0.00%,14年又105天/3年又225天
农银汇理金鑫3个月定开债,005921,120.06亿元（2019-12-31）,0.83%,1.39%,2.27%,3.98%,--,6.70%,史向明,1年又309天,6.70%,11年又121天
光大保德信尊富18个月定开债A,003065,10.80亿元（2019-12-31）,1.73%,3.01%,4.39%,6.24%,--,6.92%,沈荣,1年又286天,5.27%,2年又218天
博时安仁一年定开债C,002905,0.00亿元（2019-12-31）,1.15%,1.96%,2.60%,3.19%,12.61%,11.01%,黄海峰,2年又120天,10.21%,4年又321天
银华华茂定开债券,005529,3.53亿元（2019-12-31）,1.27%,2.17%,2.73%,5.30%,--,10.15%,吴文明,1年又287天,10.15%,2年又358天
鹏华3个月中短债A,006434,8.73亿元（2019-12-31）,0.81%,1.43%,2.15%,4.21%,--,6.21%,方昶,108天,1.55%,1年又238天
华安年年盈定开债A,000239,0.55亿元（2019-12-31）,4.22%,5.33%,5.55%,10.63%,22.19%,25.40%,孙丽娜,2年又255天,20.93%,5年又191天
人保纯债一年定开A,005715,3.79亿元（2019-12-31）,-0.08%,2.02%,-0.61%,1.42%,--,6.44%,张玮,116天,-1.60%,3年又257天
浦银安盛幸福聚益定开债A,519326,0.77亿元（2019-12-31）,1.65%,2.17%,2.16%,3.86%,10.28%,10.66%,章潇枫,2年又273天,10.59%,2年又297天
兴业纯债6个月定开债A,005988,6.26亿元（2019-12-31）,0.93%,2.49%,2.79%,4.73%,--,9.55%,伍方方,248天,3.73%,1年又284天
泰康安悦纯债3月定开债券,005172,14.27亿元（2019-12-31）,1.20%,2.07%,3.06%,5.54%,--,15.07%,黄钟/任翀,166天,2.90%,166天/3年又350天
诺安鑫享定开债发起式,005548,51.14亿元（2019-12-31）,1.10%,2.91%,3.17%,6.11%,--,12.34%,郭晓晖/裴禹翔,1年又84天,7.44%,1年又101天/4年又31天
长信富平纯债一年定开债A,002858,1.35亿元（2019-12-31）,1.35%,2.18%,3.22%,5.34%,14.97%,14.38%,张文琍,3年又205天,14.38%,14年又105天
中信建投山西国企债A,005527,2.28亿元（2019-12-31）,1.42%,2.54%,2.58%,6.90%,--,12.89%,刘博/黄海浩,1年又127天,12.19%,1年又127天/3年又287天
天弘穗利一年定开债A,006722,3.59亿元（2019-12-31）,1.33%,3.31%,3.88%,6.87%,--,6.27%,姜晓丽,1年又37天,6.27%,7年又218天
博时裕嘉纯债3个月定开债,001545,31.18亿元（2019-12-31）,0.77%,2.17%,3.03%,5.59%,15.80%,18.28%,程卓,362天,5.47%,3年又209天
长信富海纯债一年定开债C,519953,0.45亿元（2019-12-31）,1.66%,2.55%,3.60%,5.99%,14.96%,21.29%,张文琍,3年又44天,14.86%,14年又105天
鹏华永润一年定期开放债券,006956,19.27亿元（2019-12-31）,1.20%,1.82%,3.37%,--,--,6.19%,刘涛,352天,6.19%,3年又285天
长信富全纯债一年定开债C,519940,0.19亿元（2019-12-31）,1.25%,2.23%,2.33%,4.76%,15.11%,15.86%,张文琍/姜锡峰,5天,0.00%,14年又105天/3年又225天
财通鸿睿12个月定开债A,005684,1.71亿元（2019-12-31）,1.07%,2.51%,4.06%,7.06%,--,12.07%,顾宇笛/陈希希,347天,6.56%,2年又191天/1年又358天
国寿安保安吉纯债半年定开债,004821,50.82亿元（2019-12-31）,1.65%,3.12%,3.06%,6.08%,--,16.98%,董瑞倩/吴闻,2年又192天,16.94%,5年又228天/4年又133天
浦银安盛幸福聚益定开债C,519327,0.05亿元（2019-12-31）,1.61%,2.08%,1.98%,3.48%,9.09%,9.35%,章潇枫,2年又273天,9.49%,2年又297天
长信富海纯债一年定开债A,005068,1.34亿元（2019-12-31）,1.67%,2.57%,3.66%,6.11%,--,14.21%,张文琍,2年又204天,14.21%,14年又105天
华富恒玖3个月定开债A,005694,0.04亿元（2019-12-31）,0.79%,1.55%,2.54%,4.63%,--,7.73%,倪莉莎,1年又350天,7.73%,2年又177天
华安年年盈定开债C,000240,0.08亿元（2019-12-31）,4.12%,5.14%,5.45%,10.34%,20.97%,23.45%,孙丽娜,2年又255天,19.84%,5年又191天
上银聚增富定期开放债券,005431,51.04亿元（2019-12-31）,0.87%,1.57%,2.35%,4.42%,--,10.28%,高永,2年又71天,10.28%,3年又71天
财通鸿睿12个月定开债C,005685,0.95亿元（2019-12-31）,1.02%,2.41%,3.86%,6.62%,--,11.35%,顾宇笛/陈希希,347天,6.14%,2年又191天/1年又358天
长信富平纯债一年定开债C,002859,0.32亿元（2019-12-31）,1.31%,2.09%,3.00%,4.90%,13.55%,12.72%,张文琍,3年又205天,12.72%,14年又105天
鹏华永融一年定期开放债券,006958,12.03亿元（2019-12-31）,0.92%,1.57%,2.90%,--,--,5.83%,刘涛,361天,5.83%,3年又285天
中加聚盈四个月定开债A,007061,2.01亿元（2019-12-31）,3.17%,5.26%,7.15%,--,--,10.00%,闫沛贤,283天,10.00%,6年又139天
中信建投山西国企债C,005528,0.06亿元（2019-12-31）,1.37%,2.44%,2.37%,6.47%,--,12.23%,刘博/黄海浩,1年又127天,11.58%,1年又127天/3年又287天
天弘穗利一年定开债C,006723,4.41亿元（2019-12-31）,1.30%,3.23%,3.72%,6.54%,--,5.92%,姜晓丽,1年又37天,5.92%,7年又218天
浦银安盛盛融定开债券,006404,104.44亿元（2019-12-31）,1.12%,1.99%,2.49%,4.45%,--,5.89%,刘大巍,1年又86天,5.89%,3年又203天
中邮定开债C,000272,0.42亿元（2019-12-31）,1.05%,1.83%,2.20%,4.35%,15.58%,47.83%,余红/张萌,1年又294天,10.73%,4年又134天/7年又108天
光大保德信尊富18个月定开债C,003066,0.04亿元（2019-12-31）,1.68%,2.90%,4.19%,5.82%,--,5.90%,沈荣,1年又286天,4.53%,2年又218天
中加纯债定开债券A,004911,67.72亿元（2019-12-31）,1.40%,2.34%,3.00%,5.23%,--,14.18%,王霈,3天,0.00%,17天
长盛盛琪一年债券A,003199,3.64亿元（2019-12-31）,1.47%,2.32%,3.08%,5.76%,11.19%,10.25%,葛鹤军,1年又92天,6.41%,5年又10天
博时富永3个月定开债,006582,20.76亿元（2019-12-31）,1.36%,2.50%,3.03%,4.98%,--,5.71%,程卓,1年又79天,5.71%,3年又209天
万家年年恒荣定开债A,519206,6.46亿元（2019-12-31）,0.95%,1.84%,2.64%,5.64%,15.57%,16.51%,尹诚庸,303天,4.97%,4年又219天
新华安享惠金定期债券C,519161,0.11亿元（2019-12-31）,0.28%,0.96%,2.22%,3.24%,14.15%,68.89%,马英/于泽雨,3年又280天,18.25%,4年又242天/7年又78天
中银丰禧定期开放债券,005322,26.14亿元（2019-12-31）,0.76%,1.78%,2.61%,4.82%,--,10.97%,郑涛,2年又71天,10.97%,3年又274天
中邮定开债A,000271,2.75亿元（2019-12-31）,1.05%,1.83%,2.40%,4.54%,16.15%,50.19%,余红/张萌,1年又294天,11.21%,4年又134天/7年又108天
鑫元添利三个月定开债,004031,2.26亿元（2019-12-31）,1.69%,2.34%,2.77%,2.85%,--,5.86%,郭卉/赵慧,72天,2.05%,86天/4年又55天
中银证券汇宇定期开放债券,005321,156.04亿元（2019-12-31）,0.76%,2.00%,2.77%,4.82%,--,13.63%,陈渭泉,180天,2.73%,2年又217天
鹏华3个月中短债C,006456,3.49亿元（2019-12-31）,0.76%,1.32%,1.95%,3.70%,--,5.55%,方昶,108天,1.43%,1年又238天
兴业增益五年定开债,002870,20.95亿元（2019-12-31）,0.67%,1.44%,2.12%,3.40%,11.07%,10.74%,王卓然/丁进,198天,2.22%,1年又15天/4年又284天
中银悦享定期开放债券发起式,003213,202.04亿元（2019-12-31）,1.76%,2.91%,3.56%,5.92%,14.76%,12.02%,白洁,3年又161天,12.02%,8年又358天
国金量化添利,006189,1.12亿元（2019-12-31）,2.79%,4.36%,4.75%,7.76%,--,10.13%,尹海峰/杨雨龙/徐艳芳,1年又24天,7.74%,1年又24天/3年又227天/7年又12天
中银丰实定开债,004723,20.50亿元（2019-12-31）,2.00%,2.95%,2.81%,5.61%,--,17.32%,陈鹄飞/王妍,137天,3.18%,137天/7年又166天
兴业纯债6个月定开债C,005989,0.00亿元（2019-12-31）,0.89%,2.38%,2.58%,4.33%,--,8.86%,伍方方,248天,3.46%,1年又284天
人保纯债一年定开C,005716,0.01亿元（2019-12-31）,-0.12%,1.93%,-0.80%,1.01%,--,5.61%,张玮,116天,-1.71%,3年又257天
中加聚盈四个月定开债C,007062,0.50亿元（2019-12-31）,3.12%,5.16%,6.94%,--,--,9.67%,闫沛贤,283天,9.67%,6年又139天
国寿安保安盛纯债3个月定开债,004797,40.57亿元（2019-12-31）,0.81%,1.96%,2.65%,4.96%,--,13.97%,黄力,2年又72天,13.97%,6年又48天
博时富兴纯债3个月定开债发起式,005820,20.74亿元（2019-12-31）,1.28%,3.30%,4.05%,7.24%,--,13.69%,陈黎,201天,4.22%,1年又333天
长盛盛琪一年债券C,003200,0.01亿元（2019-12-31）,1.43%,2.25%,2.93%,5.44%,10.17%,9.11%,葛鹤军,1年又92天,6.02%,5年又10天
长信纯债一年定开债A,519973,3.67亿元（2019-12-31）,1.04%,2.63%,4.04%,6.65%,19.54%,57.97%,胡琼予,1年又241天,13.97%,1年又280天
万家年年恒荣定开债C,519207,0.00亿元（2019-12-31）,0.90%,1.74%,2.44%,5.23%,13.63%,14.42%,尹诚庸,303天,4.63%,4年又219天
长信纯债一年定开债C,519972,0.29亿元（2019-12-31）,1.01%,2.53%,3.85%,6.22%,18.08%,53.96%,胡琼予,1年又241天,13.21%,1年又280天
中银证券汇享定开债,005611,3.16亿元（2019-12-31）,1.30%,2.22%,2.83%,5.97%,--,11.70%,陈渭泉,180天,2.83%,2年又217天
万家安弘纯债一年定开债A,004681,5.69亿元（2019-12-31）,1.33%,2.17%,2.96%,5.73%,--,15.29%,陈奕雯/苏谋东,1年又15天,5.50%,1年又15天/6年又284天
中银丰润定期开放债券,003832,162.23亿元（2019-12-31）,1.66%,2.75%,3.42%,5.96%,16.42%,16.67%,易芳菲,3年又97天,16.67%,3年又287天
浙商汇金聚禄一年定期A,005423,4.87亿元（2019-12-31）,1.06%,1.77%,2.59%,4.58%,--,10.36%,应洁茜,228天,3.20%,2年又58天
中银丰荣定期开放债券,004882,103.67亿元（2019-12-31）,0.74%,1.96%,2.74%,5.14%,--,12.61%,郑涛,2年又57天,12.61%,3年又274天
浦银安盛盛通定开债券,004800,50.35亿元（2019-12-31）,0.83%,1.46%,2.29%,4.24%,--,10.44%,刘大巍,2年又70天,10.44%,3年又203天
国联安增裕一年定开债,006508,50.95亿元（2019-12-31）,2.48%,3.69%,4.53%,8.20%,--,8.95%,欧阳健,59天,2.92%,1年又259天
国泰农惠定期开放债券,005816,2.40亿元（2019-12-31）,2.00%,2.90%,3.14%,--,--,5.28%,陈雷/吴晨,353天,5.28%,2年又296天/9年又315天
泰康安和纯债6个月定开债券,007145,20.85亿元（2019-12-31）,1.54%,2.50%,3.40%,--,--,5.09%,经惠云,297天,5.09%,4年又109天
万家安弘纯债一年定开债C,004682,0.13亿元（2019-12-31）,1.30%,2.12%,2.85%,5.48%,--,14.70%,陈奕雯/苏谋东,1年又15天,5.26%,1年又15天/6年又284天
工银丰淳半年定开债券,004032,40.37亿元（2019-12-31）,1.24%,2.08%,2.46%,4.71%,12.75%,12.80%,陈桂都,1年又43天,4.93%,3年又187天
江信一年定开,003390,2.10亿元（2019-12-31）,-0.21%,3.26%,-2.74%,-0.01%,--,8.43%,杨淳/郑昱,2年又325天,8.43%,3年又224天/5年又284天
鑫元承利三个月定开债,006993,22.32亿元（2019-12-31）,1.57%,2.63%,3.07%,5.27%,--,5.27%,郑文旭/赵慧/颜昕,361天,5.20%,2年又30天/4年又55天/4年又256天
鑫元荣利三个月定开债,006838,3.19亿元（2019-12-31）,1.49%,2.63%,2.68%,5.37%,--,5.26%,王美芹/赵慧/颜昕,1年又24天,5.09%,3年又215天/4年又55天/4年又256天
浦银安盛盛鑫定开债A,519324,3.40亿元（2019-12-31）,0.96%,2.12%,2.79%,5.15%,17.25%,18.77%,章潇枫,2年又273天,16.56%,2年又297天
国联安增富一年定开债,006495,51.02亿元（2019-12-31）,2.42%,3.64%,4.25%,7.93%,--,9.02%,欧阳健,59天,2.84%,1年又259天
光大尊盈半年定开债C,001969,0.10亿元（2019-12-31）,0.91%,2.27%,2.78%,4.36%,--,12.09%,沈荣,1年又349天,8.68%,2年又218天
兴业安弘3个月定开债,005388,30.64亿元（2019-12-31）,1.27%,2.09%,2.63%,4.48%,--,11.27%,莫华寅,2年又69天,11.27%,4年又35天
红塔红土长益定开债C,002689,0.00亿元（2019-12-31）,5.35%,7.78%,8.00%,10.55%,19.42%,16.87%,梁钧/罗薇,1年又160天,13.63%,5年又80天/3年又308天
博时聚瑞6个月定开债,002781,50.65亿元（2019-12-31）,1.63%,2.75%,2.94%,6.27%,16.88%,16.54%,陈凯杨,1年又106天,8.34%,7年又93天
民生加银睿通3个月定开债,005425,41.26亿元（2019-12-31）,1.13%,1.83%,2.69%,4.90%,--,4.64%,姚航,200天,2.84%,6年又48天
华夏鼎瑞三个月定开债A,004921,15.50亿元（2019-12-31）,1.38%,2.28%,2.88%,5.17%,--,13.77%,刘明宇,1年又81天,6.33%,2年又87天
华夏鼎祥三个月定开债A,004923,2.12亿元（2019-12-31）,1.47%,2.30%,2.70%,3.99%,--,9.84%,张海静/何家琪/刘明宇,1年又1天,3.80%,1年又1天/3年又184天/2年又87天
华富恒玖3个月定开债C,006770,0.02亿元（2019-12-31）,0.78%,1.55%,2.52%,4.57%,--,4.55%,倪莉莎,1年又45天,4.55%,2年又177天
红塔红土长益定开债A,002688,1.65亿元（2019-12-31）,5.38%,7.88%,8.22%,10.99%,20.86%,18.45%,梁钧/罗薇,1年又160天,14.26%,5年又80天/3年又308天
浙商汇金聚禄一年定期C,005424,7.48亿元（2019-12-31）,1.01%,1.67%,2.39%,4.26%,--,9.66%,应洁茜,228天,3.15%,2年又58天
博时安诚3个月定开债A,003564,5.12亿元（2019-12-31）,0.58%,1.46%,2.14%,3.58%,10.13%,9.69%,程卓,1年又284天,8.07%,3年又209天
中航瑞景3个月定开A,006053,6.05亿元（2019-12-31）,0.93%,2.41%,3.33%,5.98%,--,7.44%,茅勇峰,1年又192天,7.44%,1年又266天
华泰紫金季季享定开债A,006654,8.98亿元（2019-12-31）,1.39%,2.52%,4.13%,8.89%,--,9.50%,陈晨/李博良,1年又2天,8.79%,1年又2天/2年又196天
前海联合泓元定开债券,005378,90.43亿元（2019-12-31）,1.55%,2.70%,3.72%,6.21%,--,14.30%,敬夏玺,2年又92天,14.30%,3年又202天
中银康享3个月定期开放债券,007712,5.18亿元（2019-12-31）,1.97%,3.76%,4.34%,--,--,4.40%,方抗,194天,4.40%,5年又203天
广发汇元纯债定开债,005778,32.57亿元（2019-12-31）,1.32%,2.22%,2.83%,5.09%,--,10.77%,高翔,332天,4.98%,1年又329天
鑫元常利定开债,005779,6.17亿元（2019-12-31）,1.23%,2.41%,3.25%,5.10%,--,11.73%,赵慧,148天,2.92%,4年又55天
浦银安盛盛鑫定开债C,519325,0.00亿元（2019-12-31）,0.87%,1.94%,2.61%,4.29%,15.53%,16.80%,章潇枫,2年又273天,14.96%,2年又297天
兴业稳固收益两年理财债券,001369,34.46亿元（2019-12-31）,0.38%,0.77%,1.46%,3.26%,10.86%,15.68%,唐丁祥,255天,1.95%,1年又17天
中航瑞景3个月定开C,006054,0.10亿元（2019-12-31）,0.92%,2.40%,3.28%,5.88%,--,7.28%,茅勇峰,1年又192天,7.28%,1年又266天
博时月月薪定期支付债券,000246,1.81亿元（2019-12-31）,1.85%,4.17%,6.15%,9.34%,18.69%,61.24%,陈凯杨,3年又317天,22.83%,7年又93天
华泰紫金季季享定开债C,006655,22.70亿元（2019-12-31）,1.35%,2.44%,3.98%,8.55%,--,9.13%,陈晨/李博良,1年又2天,8.47%,1年又2天/2年又196天
中银富享定开债,004038,19.82亿元（2019-12-31）,0.99%,1.68%,2.43%,4.11%,--,15.34%,易芳菲/白洁,1年又247天,10.30%,3年又287天/8年又358天
中加颐慧定开债券发起式A,005336,71.61亿元（2019-12-31）,0.95%,1.69%,2.50%,4.53%,--,12.92%,王霈,4天,0.00%,17天
国泰裕祥三个月定开债,006795,10.23亿元（2019-12-31）,2.10%,3.35%,4.11%,--,--,4.14%,黄志翔,187天,4.14%,3年又121天
天弘尊享定开债发起式,005488,34.11亿元（2019-12-31）,1.17%,1.93%,2.41%,5.03%,--,13.73%,王昌俊,80天,1.80%,1年又327天
财通睿智6个月定开债,005731,18.51亿元（2019-12-31）,1.35%,2.33%,2.85%,5.08%,--,10.27%,李杰,177天,2.89%,7年又61天
招商招鸿6个月定开债发起式,005606,33.46亿元（2019-12-31）,1.21%,2.38%,2.90%,5.49%,--,11.47%,刘万锋,1年又358天,11.47%,5年又54天
长信富民纯债一年定开债C,519955,0.25亿元（2019-12-31）,1.42%,2.13%,1.69%,4.25%,10.62%,18.24%,冯彬,137天,2.09%,2年又161天
中邮纯债裕利三个月定开债,007286,5.23亿元（2019-12-31）,0.84%,1.95%,2.48%,--,--,4.11%,吴昊/张萌,316天,4.11%,4年又209天/7年又108天
鑫元广利定开债发起式,005446,10.33亿元（2019-12-31）,0.93%,2.19%,2.85%,5.81%,--,15.60%,赵慧,144天,2.60%,4年又55天
兴业稳康三年定开债券,004242,2.07亿元（2019-12-31）,0.30%,0.60%,0.99%,2.05%,8.66%,8.99%,唐丁祥/丁进,57天,0.38%,1年又17天/4年又284天
东兴兴福一年定开债券,007091,4.30亿元（2019-12-31）,0.83%,1.47%,1.65%,--,--,3.94%,张琳娜,332天,3.94%,4年又326天
万家玖盛9个月定开债A,004464,4.00亿元（2019-12-31）,1.62%,3.30%,3.92%,7.04%,--,13.96%,周潜玮,180天,4.11%,2年又7天
中金新元6个月定开债C,006641,0.00亿元（2019-12-31）,0.97%,1.88%,3.03%,3.94%,--,5.83%,石玉,1年又113天,5.83%,3年又235天
博时富淳3个月定开债,007517,10.22亿元（2019-12-31）,1.75%,3.03%,4.12%,--,--,5.14%,陈黎,233天,5.14%,1年又333天
国泰信利三个月定开债,006782,20.44亿元（2019-12-31）,0.87%,1.43%,2.04%,--,--,3.67%,黄志翔,348天,3.67%,3年又121天
创金合信汇益纯债一年定开债C,005783,0.01亿元（2019-12-31）,1.52%,2.47%,3.48%,7.16%,--,14.24%,谢创/郑振源,291天,5.43%,1年又178天/4年又298天
创金合信汇益纯债一年定开债A,005782,6.23亿元（2019-12-31）,1.56%,2.54%,3.63%,7.49%,--,14.81%,谢创/郑振源,291天,5.67%,1年又178天/4年又298天
格林泓泰三个月定开债C,007711,0.00亿元（2019-12-31）,1.48%,4.45%,--,--,--,5.76%,宋东旭,163天,5.76%,2年又231天
中银季季红定开债,002985,13.19亿元（2019-12-31）,1.93%,4.35%,4.91%,6.32%,19.58%,18.82%,王妍,3年又236天,18.82%,7年又166天
博时安诚3个月定开债C,003565,0.01亿元（2019-12-31）,0.48%,1.27%,1.86%,3.12%,8.72%,8.07%,程卓,1年又284天,7.32%,3年又209天
汇安裕华定开债发起式,005556,39.91亿元（2019-12-31）,1.43%,2.42%,3.14%,5.52%,--,12.12%,黄济宽,87天,2.30%,115天
长江乐盈定开债发起式,005158,50.84亿元（2019-12-31）,1.41%,2.42%,3.04%,4.92%,--,12.26%,漆志伟,2年又104天,12.26%,3年又142天
江信汇福,002448,4.37亿元（2019-12-31）,1.43%,2.63%,3.20%,4.43%,9.81%,6.27%,静鹏,355天,2.49%,3年又224天
前海联合泓瑞定开债券,005722,61.90亿元（2019-12-31）,1.25%,2.24%,2.85%,4.91%,--,10.96%,敬夏玺,2年又1天,10.96%,3年又202天
创金合信汇誉六个月定开债A,005784,2.19亿元（2019-12-31）,1.64%,2.65%,3.73%,7.54%,--,13.66%,谢创/郑振源,291天,6.00%,1年又178天/4年又298天
长信富民纯债一年定开债A,005069,0.26亿元（2019-12-31）,1.47%,2.23%,1.92%,4.69%,--,9.33%,冯彬,137天,2.23%,2年又161天
中银安心回报,000817,34.91亿元（2019-12-31）,1.37%,2.48%,3.38%,6.23%,18.45%,30.41%,周毅/白洁,2年又25天,15.20%,2年又25天/8年又358天
银河丰泰3个月定开债券,006856,15.36亿元（2019-12-31）,1.42%,2.33%,3.33%,--,--,5.52%,张沛,291天,5.52%,2年又34天
